time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,43.10,3
3,0.00,0.00,0.00,0.00,57.73,3
5,0.00,0.00,0.00,0.00,63.33,5
7,0.00,0.00,0.00,0.00,59.26,5
9,0.00,0.00,0.00,0.00,61.50,5
11,0.00,0.00,0.00,0.00,57.13,5
13,0.00,0.00,0.00,0.00,52.95,3
15,0.00,0.00,0.00,0.00,48.25,3
17,0.60,2.40,0.31,1.71,49.84,3
19,1.01,4.05,0.62,3.71,46.80,3
21,1.23,4.04,0.88,5.71,44.53,1
23,3.22,5.15,1.43,7.71,42.31,1
25,3.43,5.32,2.08,9.71,42.19,1
27,2.58,5.31,1.87,8.07,41.20,1
29,3.35,8.10,2.59,10.07,37.55,8
31,6.07,12.26,3.08,12.07,35.08,8
33,6.19,12.54,3.57,14.07,33.83,8
35,10.23,22.67,4.47,16.07,32.22,8
37,9.36,24.39,5.15,18.07,30.86,6
39,8.79,30.04,5.52,20.07,27.17,6
41,10.40,34.95,6.12,22.07,27.30,6
43,12.36,36.59,6.87,24.07,26.37,6
45,13.98,39.61,6.53,18.82,24.76,6
47,14.70,42.22,6.06,14.90,22.46,6
49,11.44,27.11,6.92,17.02,24.43,6
51,6.62,17.77,8.00,17.09,23.21,6
53,9.91,21.53,7.19,19.09,21.43,5
55,15.74,27.91,7.88,21.09,20.70,5
57,16.18,29.69,7.80,23.09,23.28,5
59,16.07,29.26,8.83,25.09,24.83,5
61,17.93,38.22,8.51,20.69,24.12,8
63,13.81,41.55,6.76,22.69,25.18,8
65,16.49,41.52,7.25,24.69,27.70,8
67,19.57,41.52,7.27,26.69,29.76,8
69,21.17,46.63,6.77,20.18,30.53,8
71,21.55,46.77,6.33,21.51,30.55,8
73,12.45,27.46,7.32,23.51,26.01,1
75,10.27,25.60,8.53,25.51,19.99,1
77,12.85,31.70,10.02,27.51,20.74,1
79,18.12,37.00,11.41,29.51,22.10,1
81,18.70,36.93,12.38,28.04,23.89,1
83,18.82,36.66,13.14,30.04,27.79,1
85,11.59,21.81,13.80,32.04,28.39,1
87,12.65,21.81,15.12,34.04,29.00,1
89,12.61,21.81,15.08,36.04,30.84,2
91,12.61,21.81,15.91,38.04,29.38,2
93,12.61,21.81,17.57,40.04,26.79,2
95,14.69,24.73,14.15,42.04,22.08,2
97,19.63,32.70,15.78,44.04,19.70,2
99,19.20,37.90,16.42,46.04,16.98,4
101,16.49,24.15,15.73,48.04,16.09,4
103,19.15,27.95,17.41,50.04,13.46,4
105,21.60,35.04,19.41,52.04,14.97,4
107,21.80,34.95,21.00,54.04,16.41,5
109,19.64,43.41,21.72,56.04,16.62,5
111,19.58,43.16,18.90,58.04,14.43,5
113,21.62,43.04,20.90,60.04,12.75,5
115,22.78,43.04,21.75,62.04,15.73,5
117,22.64,45.98,19.20,33.51,16.07,5
119,24.75,49.94,18.61,35.51,18.80,5
121,24.76,49.86,19.47,37.51,21.99,5
123,15.96,24.89,20.49,39.51,20.75,5
125,12.28,24.89,20.17,41.51,19.62,6
127,13.86,31.19,20.59,43.51,20.98,6
129,16.16,38.09,20.41,45.51,22.56,6
131,17.31,37.82,20.63,47.51,24.44,6
133,18.98,37.82,20.29,49.51,22.83,7
135,21.41,37.73,18.33,51.51,20.40,7
137,23.00,35.36,15.82,53.51,23.92,7
139,21.12,31.93,14.38,55.51,23.26,7
141,22.56,41.53,11.53,42.42,24.50,8
143,20.75,42.33,10.58,44.42,24.88,8
145,17.20,45.27,10.69,46.42,22.35,8
147,23.94,47.80,11.93,48.42,19.88,8
149,26.20,47.78,11.45,35.01,16.00,4
151,30.31,52.85,10.65,26.05,11.46,4
153,33.08,54.24,10.37,28.05,11.52,4
155,34.87,53.97,10.86,30.05,13.25,4
157,38.16,60.68,12.47,32.47,13.33,4
159,37.63,52.58,13.09,31.32,12.78,4
161,31.58,55.39,12.98,29.88,13.54,4
163,33.21,52.74,14.37,31.88,14.84,4
165,24.95,33.87,15.43,33.88,15.40,2
167,26.23,33.86,16.79,35.88,12.86,2
169,26.96,34.99,17.23,37.88,10.68,2
171,30.07,43.81,17.55,39.88,11.34,2
173,33.14,53.20,19.00,41.88,15.91,2
175,28.64,52.97,17.98,43.88,16.74,2
177,29.95,52.97,16.28,45.88,18.82,2
179,25.86,36.72,16.13,47.88,20.55,3
181,16.68,30.94,16.51,49.88,18.23,3
183,16.77,31.03,16.95,51.88,17.67,3
185,18.82,37.69,17.76,53.88,17.87,3
187,21.73,43.78,18.79,55.88,19.75,3
189,21.64,43.53,17.71,56.47,25.02,1
191,21.74,43.53,17.54,58.47,22.41,1
193,21.81,43.20,16.22,60.47,20.91,1
195,20.20,37.89,17.67,62.47,22.09,1
197,19.95,37.89,18.98,63.45,20.25,1
199,19.88,37.65,18.09,49.65,19.76,1
201,13.04,23.66,18.72,47.71,18.23,5
203,14.69,24.28,18.67,45.22,17.05,5
205,17.27,24.28,17.23,47.22,20.40,5
207,19.31,29.00,17.27,49.22,22.86,5
209,19.39,30.82,17.07,49.46,22.34,4
211,13.70,30.82,16.57,51.46,21.05,4
213,13.77,30.82,17.60,53.46,21.27,4
215,14.97,30.82,17.40,55.46,19.92,4
217,12.67,30.82,14.14,30.42,19.29,2
219,14.57,30.82,13.36,32.42,22.46,2
221,17.23,30.82,14.04,34.42,23.31,2
223,17.76,30.82,15.71,36.42,23.42,2
225,16.81,30.82,15.55,38.11,22.86,2
227,16.91,29.25,16.02,40.11,22.05,1
229,12.17,31.38,14.09,42.11,21.41,1
231,13.60,31.37,14.92,44.11,19.90,1
233,17.01,39.90,16.39,46.11,22.76,1
235,21.70,47.89,17.93,48.11,22.76,1
237,20.26,50.07,17.77,50.11,24.53,1
239,20.11,50.06,18.89,52.11,25.87,1
241,21.28,49.99,19.25,54.11,26.84,1
243,11.95,20.88,19.84,56.11,26.50,1
245,11.49,23.95,19.58,58.11,24.73,1
247,11.48,23.92,21.11,60.11,22.20,1
249,11.48,23.92,22.44,62.11,20.54,2
251,12.63,28.50,22.39,64.11,20.86,2
253,14.21,29.31,23.62,66.11,22.46,2
255,15.86,29.31,25.17,68.11,21.24,2
257,16.92,29.30,22.98,70.11,22.35,2
259,10.25,15.84,23.11,72.11,22.03,2
261,10.14,17.22,23.29,74.11,20.65,2
263,11.37,17.58,22.57,76.11,22.94,2
265,13.24,17.58,21.94,78.11,22.07,4
267,13.20,17.58,23.45,80.11,22.50,4
269,14.92,17.71,24.61,82.11,22.84,4
271,14.12,17.50,25.06,84.11,25.48,4
273,9.61,18.34,24.35,86.11,25.27,7
275,7.91,18.41,22.14,88.11,26.47,7
277,8.00,18.41,23.17,90.11,24.93,7
279,9.85,18.40,23.35,92.11,23.10,7
281,13.22,25.53,19.24,94.11,22.29,5
283,13.32,31.07,19.19,96.11,22.12,5
285,13.12,30.47,19.80,98.11,20.80,5
287,14.36,34.51,21.24,100.11,18.78,5
289,14.78,36.26,11.98,32.20,19.50,5
291,11.31,23.24,9.66,21.08,22.99,5
293,7.04,16.76,8.98,23.08,25.45,5
295,6.98,16.51,10.42,25.08,25.60,5
297,7.93,20.32,10.10,27.08,23.75,6
299,8.78,23.70,10.44,29.08,21.42,6
301,8.77,23.67,11.57,31.08,24.35,6
303,8.77,23.67,12.91,33.08,25.74,6
305,10.56,26.38,11.41,32.75,26.49,8
307,11.79,28.69,8.32,30.60,32.84,8
309,9.15,16.95,8.23,32.60,37.46,8
311,6.64,16.90,7.65,34.60,40.34,8
313,4.86,11.04,5.60,32.08,39.80,8
315,4.11,12.06,4.34,19.09,39.63,8
317,4.11,12.06,4.22,21.09,37.18,6
319,5.47,17.50,4.69,23.09,34.49,6
321,5.73,18.53,5.67,25.09,31.62,6
323,9.87,27.24,6.38,27.09,28.85,6
325,14.56,38.54,7.08,20.56,28.32,6
327,18.45,48.94,6.94,22.56,26.68,6
329,20.86,55.62,7.18,24.56,26.75,1
331,21.14,35.75,8.02,26.56,23.49,1
333,16.04,33.08,9.48,28.56,19.54,1
335,18.81,38.81,10.05,30.56,16.93,1
337,22.14,48.25,10.56,32.56,13.44,1
339,28.04,60.76,11.45,34.56,15.94,1
341,30.89,71.18,12.79,36.56,20.19,1
343,31.18,72.37,13.52,38.56,20.66,1
345,31.42,72.27,14.76,40.56,23.19,1
347,19.16,23.05,16.23,42.56,21.91,1
349,15.78,23.05,17.88,44.56,22.12,1
351,15.78,23.05,19.47,46.56,20.48,6
353,15.78,23.05,19.43,48.56,16.94,6
355,16.91,23.05,19.88,50.56,15.65,6
357,19.17,23.98,21.43,52.56,15.99,6
359,20.08,23.79,22.64,54.56,17.89,6
361,20.50,23.84,21.97,56.56,22.76,6
363,14.82,23.82,21.52,58.56,25.67,6
365,14.82,23.82,21.20,60.56,25.14,3
367,15.07,23.82,17.45,62.56,26.13,3
369,16.32,23.82,17.46,64.56,25.94,3
371,16.28,23.82,17.78,66.56,25.54,3
373,12.32,23.51,13.93,44.92,22.67,3
375,10.95,22.23,12.42,46.92,18.10,8
377,14.06,19.69,12.47,48.92,14.79,8
379,15.29,25.56,12.27,50.92,16.80,8
381,15.86,25.63,13.72,52.92,21.82,8
383,18.46,25.63,14.65,54.92,23.15,1
385,19.03,25.63,12.30,53.39,25.73,1
387,17.16,25.63,9.99,29.43,25.92,1
389,15.07,25.63,11.39,31.43,28.52,1
391,18.37,31.53,12.94,33.43,30.65,1
393,19.73,32.27,12.76,35.43,30.05,1
395,11.73,18.98,10.89,37.43,28.69,1
397,9.56,13.86,11.41,39.43,28.49,1
399,12.87,22.07,11.66,41.43,27.26,1
401,14.70,29.38,11.80,43.43,22.61,2
403,15.68,30.69,12.95,45.43,19.84,2
405,17.06,30.68,14.06,47.43,16.46,2
407,20.40,36.18,13.46,34.70,16.80,2
409,21.51,39.10,15.01,36.70,19.56,2
411,17.96,42.51,14.28,38.70,19.69,2
413,15.65,31.25,14.68,40.70,20.42,2
415,16.39,31.25,15.39,42.70,19.55,2
417,16.42,31.25,15.33,44.70,19.83,6
419,17.73,31.25,16.21,46.70,19.18,6
421,17.81,31.25,17.12,48.70,18.45,6
423,20.43,35.06,17.87,50.70,17.98,6
425,22.75,37.26,16.19,48.14,16.48,5
427,24.02,36.99,16.60,50.14,17.44,5
429,25.28,33.61,18.01,52.14,15.06,5
431,20.69,34.92,19.56,54.14,12.88,5
433,21.43,35.88,20.41,56.14,12.92,4
435,24.27,35.55,17.35,58.14,13.63,4
437,26.39,37.48,15.25,60.14,13.50,4
439,20.62,37.23,16.78,62.14,13.60,4
441,19.64,37.23,17.84,59.73,15.98,4
443,19.96,37.05,15.24,38.49,16.75,4
445,13.46,23.74,15.09,40.49,15.81,1
447,13.46,23.74,15.87,42.49,14.23,1
449,16.43,27.47,17.07,44.49,12.86,1
451,18.59,31.50,18.71,46.49,16.42,1
453,18.19,36.46,17.03,48.49,20.37,1
455,18.12,36.16,18.14,50.49,21.48,6
457,11.81,29.50,16.71,52.49,23.29,6
459,12.18,31.01,17.44,54.49,26.86,6
461,12.91,31.00,18.22,56.49,27.92,6
463,13.54,31.00,18.57,58.49,27.35,6
465,13.53,31.00,14.56,60.49,24.82,6
467,11.77,19.72,14.54,62.49,26.73,6
469,8.68,17.36,14.92,64.49,26.44,8
471,9.24,19.64,14.79,66.49,22.78,8
473,10.22,19.63,13.91,68.49,22.55,8
475,10.76,19.63,,,26.74,8
477,10.25,19.63,,,25.64,3
479,7.58,19.63,,,19.87,3
481,7.58,19.63,,,20.52,3
483,10.82,19.62,,,22.91,3
485,11.40,19.82,,,29.31,3
487,10.73,19.64,,,32.04,1
489,10.73,19.64,,,31.48,1
491,10.92,19.64,,,32.96,1
493,10.70,19.64,,,35.18,1
495,9.48,19.63,,,31.79,2
497,6.64,18.07,,,29.05,2
499,8.37,22.46,,,27.95,2
501,12.19,24.45,,,25.97,2
