time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,43.90,1
3,0.00,0.00,0.00,0.00,46.75,4
5,0.00,0.00,0.00,0.00,56.55,4
7,0.00,0.00,0.00,0.00,57.94,4
9,0.00,0.00,0.00,0.00,60.51,4
11,0.00,0.00,0.00,0.00,58.74,1
13,0.00,0.00,0.00,0.00,53.29,1
15,0.00,0.00,0.00,0.00,45.69,1
17,0.00,0.00,0.21,1.98,41.69,1
19,0.00,0.00,0.66,3.98,35.84,2
21,1.20,4.28,1.10,4.10,28.72,2
23,4.01,6.79,1.50,5.19,26.55,2
25,6.39,11.85,2.43,7.19,28.08,2
27,6.58,14.49,3.10,8.98,29.27,1
29,5.15,11.82,3.08,8.99,31.25,1
31,4.78,11.82,3.50,10.99,28.40,1
33,6.31,11.82,4.50,12.99,27.24,1
35,9.40,22.07,5.50,14.99,25.69,2
37,7.05,12.67,5.99,15.58,25.62,2
39,5.44,10.78,5.59,17.58,23.12,2
41,9.20,12.71,6.81,19.58,24.98,2
43,10.95,18.87,8.02,21.58,24.54,2
45,11.36,24.17,6.85,23.58,22.60,2
47,7.30,10.92,5.53,25.58,23.04,2
49,6.60,11.31,6.26,27.58,15.16,1
51,9.29,18.06,6.86,29.58,13.79,1
53,12.82,23.64,6.48,31.58,21.76,1
55,13.37,23.68,7.45,33.58,28.59,1
57,6.71,11.73,5.50,35.58,30.33,4
59,4.12,11.73,4.94,37.58,30.81,4
61,4.10,11.73,4.27,39.58,36.26,4
63,2.31,9.04,3.75,41.58,35.36,4
65,0.00,0.00,1.91,13.46,37.09,2
67,0.00,0.00,1.77,13.66,41.10,2
69,1.74,4.49,2.45,15.66,50.76,2
71,1.47,5.67,1.16,5.76,48.22,2
73,1.42,5.66,0.83,7.76,44.74,1
75,1.48,5.66,1.12,9.76,40.27,1
77,2.55,5.57,1.57,11.76,38.39,1
79,1.23,4.43,2.38,13.76,37.57,1
81,1.50,4.43,1.33,8.03,30.57,2
83,3.30,8.75,1.36,10.03,26.97,2
85,4.92,10.73,2.07,12.03,27.69,2
87,6.24,11.55,2.47,14.03,27.48,2
89,2.40,5.16,2.52,16.03,29.82,2
91,2.40,5.16,1.81,18.03,25.67,4
93,2.40,5.16,1.90,20.03,16.77,4
95,3.26,8.59,2.19,22.03,21.31,4
97,5.02,15.03,2.87,24.03,33.87,4
99,5.57,17.35,3.58,26.03,39.71,1
101,3.08,7.41,2.42,9.78,43.71,1
103,1.37,4.91,2.09,11.78,42.37,1
105,3.73,10.01,2.52,13.78,46.77,1
107,3.61,9.52,2.95,15.78,43.05,1
109,1.23,4.91,3.07,17.78,39.08,2
111,1.56,4.91,2.85,19.78,30.18,2
113,2.90,5.55,3.03,21.78,32.11,2
115,2.91,11.63,2.83,23.78,30.36,2
117,2.88,11.53,1.11,5.34,28.72,3
119,3.17,11.53,1.27,7.34,32.37,3
121,4.18,11.53,1.45,9.34,39.12,3
123,3.22,7.82,1.95,11.34,41.94,3
125,2.48,5.06,2.46,13.64,39.61,1
127,2.48,5.06,2.55,12.86,32.37,1
129,4.51,11.08,3.31,14.86,33.52,1
131,3.42,8.62,4.16,16.86,34.56,1
133,1.17,4.68,2.60,7.53,35.04,2
135,2.80,11.19,2.32,9.39,35.92,2
137,3.25,13.00,2.79,11.39,41.16,2
139,4.43,17.70,2.15,11.02,42.62,2
141,4.02,6.73,2.07,9.63,42.95,1
143,2.53,5.17,1.70,7.59,40.32,1
145,2.63,5.17,1.39,7.28,37.49,1
147,1.71,5.17,2.02,9.28,33.61,1
149,1.29,5.17,2.15,10.53,27.19,2
151,2.30,5.17,2.88,12.53,21.49,2
153,4.34,10.61,4.29,14.53,20.86,2
155,5.64,9.00,4.28,16.53,23.90,2
157,8.30,23.32,4.17,18.53,27.62,1
159,8.25,23.12,4.30,20.53,27.33,1
161,8.58,23.12,3.93,22.53,35.45,1
163,8.25,23.11,4.03,24.53,36.43,1
165,5.55,12.32,3.82,26.53,38.06,3
167,2.47,5.17,3.83,28.53,35.10,3
169,3.40,4.84,3.66,30.53,36.88,3
171,4.01,11.33,4.27,32.53,36.99,3
173,4.03,11.42,3.57,24.66,35.52,3
175,4.03,11.42,3.61,26.66,31.53,3
177,4.69,14.04,4.03,28.66,28.13,1
179,6.16,19.92,4.22,30.66,24.75,1
181,7.30,23.28,4.77,32.66,27.88,1
183,10.76,27.09,5.56,34.66,31.25,1
185,11.19,29.25,3.75,36.66,30.51,1
187,8.37,12.87,3.40,38.66,31.83,4
189,5.38,10.81,3.62,40.66,28.20,4
191,6.02,10.81,3.94,42.66,25.96,4
193,6.55,10.74,4.74,44.66,28.81,4
195,6.66,11.29,5.66,46.66,32.82,2
197,6.78,11.12,4.54,15.32,31.91,2
199,7.08,11.12,5.02,17.32,32.24,2
201,8.69,12.07,5.99,19.32,33.14,2
203,10.95,22.74,6.33,21.32,31.86,2
205,8.76,23.57,7.83,23.32,35.08,2
207,4.33,11.45,6.59,25.32,35.99,2
209,4.05,11.45,6.90,27.32,30.74,1
211,4.05,11.45,7.11,29.32,27.16,1
213,5.47,16.56,7.33,31.32,24.04,1
215,9.33,32.13,8.33,33.32,24.28,1
217,10.64,37.52,4.99,24.25,28.67,1
219,11.17,39.63,4.11,26.25,32.47,1
221,11.52,41.01,4.50,28.25,36.43,1
223,2.60,5.34,4.58,30.25,36.66,1
225,2.60,5.34,5.26,32.25,37.54,1
227,4.12,11.14,5.02,34.25,38.90,1
229,4.22,11.53,5.35,36.25,35.92,1
231,4.22,11.53,5.67,38.25,30.26,1
233,5.67,14.57,6.26,40.25,24.92,1
235,9.27,17.84,7.55,42.25,22.58,1
237,10.59,17.81,8.84,44.25,21.71,1
239,11.61,17.81,9.88,46.25,18.11,1
241,12.23,20.10,11.07,48.25,23.95,2
243,13.27,24.27,11.71,50.25,24.31,2
245,13.25,24.21,12.92,52.25,27.33,2
247,13.25,24.21,13.12,54.25,29.75,2
249,12.90,30.08,12.13,56.25,30.94,2
251,10.18,19.19,9.15,58.25,32.61,2
253,5.38,10.99,7.77,60.25,33.42,2
255,6.11,13.92,7.25,62.25,30.46,2
257,6.93,17.18,7.12,64.25,30.08,1
259,7.93,17.15,8.09,66.25,27.13,1
261,10.78,23.10,9.37,68.25,27.86,1
263,13.39,22.85,7.99,70.25,24.91,1
265,12.60,28.66,9.23,72.25,21.09,1
267,13.03,22.16,8.39,74.25,20.43,1
269,12.79,29.66,8.95,76.25,19.55,2
271,13.55,32.69,9.25,78.25,20.74,2
273,14.42,36.16,9.96,80.25,18.89,2
275,14.64,36.12,11.29,82.25,22.08,2
277,16.97,36.12,12.86,84.25,23.47,2
279,17.31,35.93,12.59,86.25,22.85,2
281,9.57,11.79,13.75,88.25,20.93,1
283,9.57,11.79,14.70,90.25,21.15,1
285,10.54,14.88,14.39,92.25,23.98,1
287,12.62,17.25,13.12,94.25,24.21,1
289,10.28,10.99,12.74,96.25,23.75,1
291,9.28,10.99,12.62,98.25,21.89,1
293,10.65,16.15,12.15,100.25,21.11,1
295,11.15,18.14,12.36,102.25,19.54,1
297,13.56,27.81,12.41,104.25,19.26,1
299,13.79,28.72,13.50,106.25,17.17,1
301,13.79,28.72,14.55,108.25,16.40,2
303,13.79,28.72,14.77,110.25,14.92,2
305,13.79,28.72,15.13,112.25,17.83,2
307,13.79,28.72,16.06,114.25,20.36,2
309,13.79,28.71,15.23,116.25,20.50,2
311,9.78,12.67,15.31,118.25,18.72,2
313,7.86,10.99,15.92,120.25,21.22,4
315,7.86,10.99,14.25,122.25,23.10,4
317,7.84,10.99,12.93,124.25,33.29,4
319,6.05,10.99,12.65,126.25,39.71,4
321,4.99,10.99,10.03,128.25,40.77,3
323,6.71,10.99,6.70,130.25,38.23,3
325,6.50,10.99,7.06,132.25,38.92,3
327,3.94,7.90,7.44,134.25,38.02,3
329,0.38,1.51,5.18,100.33,30.43,3
331,3.43,12.11,1.68,4.19,26.63,3
333,6.43,20.85,2.08,6.19,24.68,1
335,8.33,24.50,3.16,8.19,18.28,1
337,9.23,24.45,4.24,10.19,22.99,1
339,10.42,30.36,3.24,12.19,25.32,1
341,11.34,31.51,3.65,13.81,29.30,1
343,8.78,18.11,4.10,13.62,26.90,1
