time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,43.60,1
3,0.00,0.00,0.00,0.00,0.00,53.07,1
5,0.00,0.00,0.00,0.00,0.00,61.53,1
7,0.00,0.00,0.00,0.00,0.00,62.72,1
9,0.00,0.00,0.00,0.00,0.00,58.47,1
11,0.00,0.00,0.00,0.00,0.00,57.06,1
13,0.00,0.00,0.00,0.00,0.00,51.58,1
15,0.00,0.00,0.01,0.02,0.11,45.48,1
17,0.38,1.21,0.42,0.52,2.11,42.48,1
19,3.21,7.38,0.92,1.10,4.11,39.35,3
21,4.11,11.02,1.42,1.68,6.11,38.88,3
23,5.58,11.34,2.19,2.45,8.11,37.82,3
25,5.76,12.06,2.86,3.05,10.11,33.86,3
27,5.91,12.06,3.73,4.12,12.11,31.40,3
29,7.15,12.06,4.43,4.80,14.11,28.61,3
31,8.00,14.23,5.33,5.83,16.11,27.76,3
33,10.42,18.74,6.07,6.57,18.11,27.56,3
35,10.38,18.67,6.95,7.52,20.11,24.58,3
37,10.98,18.67,8.02,8.74,22.11,23.49,3
39,13.45,18.67,9.23,10.15,24.11,23.15,2
41,14.82,18.67,10.59,11.79,26.11,26.39,2
43,14.76,18.66,11.52,12.75,28.11,27.93,2
45,11.18,17.54,11.47,12.83,29.84,26.67,2
47,12.54,22.86,9.80,12.19,31.84,26.35,2
49,13.38,23.17,8.08,9.79,33.84,25.92,2
51,14.20,23.17,8.77,10.74,35.84,26.02,2
53,14.19,23.17,9.77,11.96,37.84,24.77,2
55,14.55,23.17,10.87,13.28,39.84,23.00,2
57,17.77,23.88,12.17,14.87,41.84,20.01,2
59,17.64,23.71,13.20,16.03,43.84,19.96,4
61,19.22,28.97,14.46,17.56,45.84,19.83,4
63,21.21,30.12,15.54,18.79,47.84,19.54,4
65,22.71,34.01,14.58,17.49,39.99,18.09,4
67,12.54,36.30,14.08,17.01,41.99,17.91,4
69,16.26,41.77,14.03,17.05,43.99,16.79,4
71,17.94,48.65,13.11,15.99,45.99,14.35,4
73,18.25,48.57,14.11,17.22,47.99,11.23,4
75,20.14,49.66,15.29,18.66,49.99,8.28,4
77,21.21,49.46,16.83,20.42,51.99,6.93,4
79,23.66,59.36,17.71,21.17,53.99,5.83,1
81,26.20,68.30,19.04,22.53,55.99,7.49,1
83,25.85,68.13,20.37,23.90,57.99,10.27,1
85,26.83,68.13,18.73,21.88,49.27,13.56,1
87,27.07,68.13,17.99,21.28,50.18,18.55,1
89,27.83,68.13,17.46,19.56,44.46,21.18,1
91,29.83,68.13,14.92,18.80,45.55,23.68,1
93,29.71,64.91,15.36,18.86,47.55,24.45,1
95,25.62,48.57,16.18,19.56,49.55,23.47,3
97,26.24,48.57,17.02,20.17,51.55,21.84,3
99,27.57,48.57,16.51,20.87,53.55,24.36,3
101,27.80,54.94,16.38,20.62,49.95,25.41,3
103,27.69,55.40,17.12,21.51,51.61,24.64,3
105,29.29,61.85,15.97,20.65,51.55,23.88,3
107,33.08,71.89,16.23,20.61,43.58,22.21,3
109,36.20,77.58,17.41,21.92,44.24,19.74,3
111,40.48,89.22,18.52,23.06,46.24,17.80,3
113,46.76,98.44,18.72,22.59,48.24,15.57,3
115,51.59,98.71,18.56,21.36,50.24,11.99,3
117,54.77,95.48,20.25,23.18,52.24,9.99,2
119,40.39,89.16,20.83,23.19,54.24,9.48,2
121,44.48,89.02,22.33,24.71,56.24,9.48,2
123,48.90,90.95,20.35,21.60,48.65,7.71,2
125,53.24,94.94,20.34,22.72,50.65,6.19,2
127,57.50,96.68,19.43,22.67,46.95,5.87,2
129,60.60,107.66,19.21,22.78,48.95,6.28,2
131,63.97,114.27,19.03,23.60,50.95,11.95,2
133,63.87,114.13,20.37,25.08,52.95,14.51,2
135,63.87,114.13,20.80,25.05,54.95,15.70,4
137,63.87,114.13,22.31,26.81,56.95,16.22,4
139,65.18,113.96,21.52,27.29,58.95,15.09,4
141,50.84,74.43,21.45,27.70,60.95,13.90,4
143,47.29,83.43,22.21,28.64,62.95,15.72,4
145,51.94,94.69,21.55,27.01,64.95,14.86,4
147,44.98,98.37,22.03,27.88,66.95,13.06,4
149,45.14,105.71,23.44,29.61,68.95,11.01,1
151,48.16,114.12,24.29,30.47,70.95,8.73,1
153,50.57,117.92,25.12,31.63,72.95,8.63,1
155,53.57,117.88,26.69,33.45,74.97,10.21,1
157,58.14,117.88,27.06,33.23,61.97,11.56,1
159,57.34,117.88,27.25,33.30,56.13,12.75,1
161,55.92,117.88,26.85,32.98,52.95,12.68,1
163,57.07,117.88,27.29,33.49,50.72,11.08,1
165,58.47,117.88,28.84,35.32,52.72,11.87,1
167,62.82,117.88,27.08,32.45,54.06,12.35,3
169,66.94,119.64,28.32,34.05,56.06,12.63,3
171,69.54,124.38,29.38,35.55,58.06,13.28,3
173,70.04,126.44,28.07,33.50,60.06,12.98,3
175,72.34,129.50,29.37,35.06,62.06,13.29,3
177,63.01,122.02,29.74,35.62,64.06,14.92,3
179,38.49,112.19,30.78,36.93,66.06,13.83,3
181,41.84,123.87,31.04,37.02,68.06,12.72,3
183,46.33,125.40,31.90,38.18,70.06,10.61,2
185,47.42,125.39,33.40,39.92,72.06,11.50,2
187,50.60,129.28,33.42,39.22,74.06,12.67,2
189,53.21,132.08,34.26,40.25,74.30,12.56,2
191,53.83,132.06,34.37,40.59,74.47,10.53,2
193,56.97,132.06,33.93,40.40,75.70,8.92,2
195,59.30,134.62,35.26,41.93,76.33,9.13,2
197,61.71,138.92,34.67,40.39,74.58,8.31,2
199,61.96,138.88,34.88,39.91,76.58,9.59,2
201,62.85,138.88,36.64,41.79,78.58,7.99,2
203,65.30,138.88,33.93,41.13,80.58,7.92,4
