time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,43.60,1
3,0.00,0.00,0.00,0.00,53.07,1
5,0.00,0.00,0.00,0.00,61.53,1
7,0.00,0.00,0.00,0.00,62.72,1
9,0.00,0.00,0.00,0.00,58.47,1
11,0.00,0.00,0.00,0.00,57.06,1
13,0.00,0.00,0.00,0.00,51.58,1
15,0.00,0.00,0.02,0.11,45.48,1
17,0.38,1.21,0.52,2.11,42.48,1
19,3.21,7.38,1.10,4.11,39.35,3
21,4.11,11.02,1.68,6.11,38.88,3
23,5.58,11.34,2.45,8.11,37.82,3
25,5.76,12.06,3.05,10.11,33.86,3
27,5.91,12.06,4.12,12.11,31.40,3
29,7.15,12.06,4.80,14.11,28.61,3
31,8.00,14.23,5.83,16.11,27.76,3
33,10.42,18.74,6.57,18.11,27.56,3
35,10.38,18.67,7.52,20.11,24.58,3
37,10.98,18.67,8.74,22.11,23.49,3
39,13.45,18.67,10.15,24.11,23.15,2
41,14.82,18.67,11.79,26.11,26.39,2
43,14.76,18.66,12.75,28.11,27.93,2
45,11.18,17.54,12.83,29.84,26.67,2
47,12.54,22.86,12.19,31.84,26.35,2
49,13.38,23.17,9.79,33.84,25.92,2
51,14.20,23.17,10.74,35.84,26.02,2
53,14.19,23.17,11.96,37.84,24.77,2
55,14.55,23.17,13.28,39.84,23.00,2
57,17.77,23.88,14.87,41.84,20.01,2
59,17.64,23.71,16.03,43.84,19.96,4
61,19.22,28.97,17.56,45.84,19.83,4
63,21.21,30.12,18.79,47.84,19.54,4
65,22.71,34.01,17.49,39.99,18.09,4
67,12.54,36.30,17.01,41.99,17.91,4
69,16.26,41.77,17.05,43.99,16.79,4
71,17.94,48.65,15.99,45.99,14.35,4
73,18.25,48.57,17.22,47.99,11.23,4
75,20.14,49.66,18.66,49.99,8.28,4
77,21.21,49.46,20.42,51.99,6.93,4
79,23.66,59.36,21.17,53.99,5.83,1
81,26.20,68.30,22.53,55.99,7.49,1
83,25.85,68.13,23.90,57.99,10.27,1
85,26.83,68.13,21.88,49.27,13.56,1
