time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.60
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.70
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.50
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.20
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.30
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.90
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50
25,0.58,0.00,0.29,0.58,0.00,2.00,0.00,0.67,0.67,2.00,26.45
27,5.17,0.00,2.58,5.17,0.00,4.00,0.00,1.33,1.33,4.00,31.75
29,5.01,0.00,2.50,5.01,0.00,6.00,0.00,2.00,2.00,6.00,32.95
31,5.01,0.00,2.50,5.01,0.00,8.00,0.00,2.67,2.67,8.00,32.40
33,5.01,0.00,2.50,5.01,0.00,10.00,0.00,3.33,3.33,10.00,34.73
35,5.01,0.00,2.50,5.01,0.00,12.00,0.00,4.00,4.00,12.00,41.38
37,5.01,0.00,2.50,5.01,0.00,14.00,0.00,4.67,4.67,14.00,37.68
39,5.01,0.00,2.50,5.01,0.35,16.00,0.00,5.45,5.45,16.00,35.38
41,11.78,0.00,5.89,11.78,2.35,18.00,0.00,6.78,6.78,18.00,44.45
43,9.46,0.00,4.73,9.46,4.35,20.00,0.00,8.11,8.11,20.00,45.01
45,0.00,0.00,0.00,0.00,6.35,0.00,0.00,2.12,2.12,6.35,49.50
47,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.51,0.51,1.53,49.76
49,0.00,0.00,0.00,0.00,0.00,2.84,0.00,0.95,0.95,2.84,46.87
51,0.00,0.55,0.27,0.55,0.00,0.00,1.76,0.59,0.59,1.76,44.74
53,0.00,4.84,2.42,4.84,0.00,0.00,3.76,1.25,1.25,3.76,34.35
55,0.00,4.65,2.33,4.65,0.00,0.56,5.76,2.11,2.11,5.76,26.80
57,0.00,6.14,3.07,6.14,1.35,0.00,7.76,3.03,3.03,7.76,31.27
59,0.00,11.47,5.74,11.47,3.35,0.00,9.76,4.37,4.37,9.76,33.44
61,0.00,11.35,5.68,11.35,0.00,0.00,11.76,3.92,3.92,11.76,37.60
63,0.00,8.22,4.11,8.22,0.00,0.00,13.76,4.59,4.59,13.76,44.83
65,0.00,0.00,0.00,0.00,0.00,0.00,9.30,3.10,3.10,9.30,49.50
67,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.66,0.66,1.98,42.55
69,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.08,0.08,0.25,32.80
71,0.00,0.00,0.00,0.00,2.25,0.00,0.00,0.75,0.75,2.25,33.40
