time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.50
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.53
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.60
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.68
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.82
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.90
17,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.28,0.36,0.84,40.80
19,0.00,0.00,0.00,0.00,2.84,0.00,0.00,0.95,1.22,2.84,23.38
21,3.08,0.00,1.54,3.08,4.84,0.00,0.82,1.89,2.19,4.84,8.64
23,7.04,5.19,6.11,7.04,6.84,1.21,2.82,3.62,3.85,6.84,1.42
25,19.43,5.19,12.31,19.43,8.84,3.21,4.82,5.62,5.85,8.84,15.97
27,22.63,5.19,13.91,22.63,6.06,5.21,6.82,6.03,5.81,6.82,21.64
29,21.75,5.19,13.47,21.75,8.06,7.21,8.82,8.03,7.81,8.82,24.98
31,17.05,5.19,11.12,17.05,7.44,9.21,10.82,9.16,8.68,10.82,25.38
33,12.14,5.19,8.67,12.14,9.44,11.21,12.82,11.16,10.68,12.82,23.46
35,10.81,5.19,8.00,10.81,11.44,13.21,14.82,13.16,12.68,14.82,25.52
37,10.78,5.19,7.98,10.78,13.44,15.21,16.82,15.16,14.68,16.82,19.87
39,10.78,5.19,7.98,10.78,15.44,17.21,18.82,17.16,16.68,18.82,14.68
41,15.79,5.19,10.49,15.79,17.44,19.21,20.82,19.16,18.68,20.82,21.05
43,17.08,10.37,13.73,17.08,19.44,21.21,22.82,21.16,20.68,22.82,23.78
45,7.35,11.74,9.55,11.74,21.44,7.78,24.82,18.01,16.07,24.82,30.87
47,0.00,11.73,5.87,11.73,0.00,9.78,26.82,12.20,8.02,26.82,36.38
49,0.00,11.73,5.87,11.73,0.00,0.60,28.82,9.81,4.37,28.82,36.62
51,0.00,11.73,5.87,11.73,0.00,2.60,30.82,11.14,5.52,30.82,36.53
53,0.00,11.73,5.87,11.73,0.00,0.00,32.82,10.94,4.69,32.82,38.53
55,0.00,15.45,7.72,15.45,0.00,0.00,34.82,11.61,4.97,34.82,37.49
57,0.00,17.53,8.77,17.53,0.00,0.05,36.82,12.29,5.28,36.82,30.34
59,0.00,17.52,8.76,17.52,0.00,0.00,38.82,12.94,5.55,38.82,26.09
61,0.00,17.52,8.76,17.52,1.59,0.00,40.82,14.14,6.51,40.82,18.42
63,3.52,17.50,10.51,17.50,3.59,0.00,42.82,15.47,7.66,42.82,12.85
65,10.64,5.86,8.25,10.64,5.59,0.00,25.22,10.27,6.00,25.22,2.77
67,17.71,0.00,8.85,17.71,7.59,1.77,13.18,7.51,5.89,13.18,0.15
69,23.28,0.00,11.64,23.28,9.59,3.77,0.00,4.45,5.73,9.59,10.88
71,23.18,0.00,11.59,23.18,11.59,5.77,0.00,5.79,7.44,11.59,19.78
