time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,44.30,1
3,0.00,0.00,0.00,0.00,0.00,49.20,1
5,0.00,0.00,0.00,0.00,0.00,56.43,1
7,0.00,0.00,0.00,0.00,0.00,56.85,1
9,0.00,0.00,0.00,0.00,0.00,56.94,1
11,0.00,0.00,0.00,0.00,0.00,56.31,1
13,0.00,0.00,0.00,0.00,0.00,54.56,1
15,0.00,0.00,0.00,0.00,0.00,46.80,1
17,0.00,0.00,0.10,0.17,1.15,43.42,1
19,0.76,1.55,0.44,0.61,3.15,43.05,1
21,2.49,9.94,0.94,1.31,5.15,39.72,1
23,3.08,12.33,1.59,2.29,7.15,35.73,3
25,3.08,12.31,2.01,2.83,9.15,26.94,3
27,5.10,18.93,1.74,2.16,9.77,28.66,3
29,4.66,18.65,2.39,3.01,11.77,27.94,3
31,5.35,18.65,3.17,4.17,13.77,30.72,3
33,8.05,18.65,3.93,5.14,15.77,35.17,3
35,8.88,18.65,4.76,6.24,17.77,36.86,3
37,8.88,18.65,5.59,7.34,19.77,35.31,3
39,8.88,18.65,6.43,8.44,21.77,30.86,2
41,9.46,20.96,7.32,9.57,23.77,27.49,2
43,13.20,28.87,8.32,10.77,25.77,22.65,2
45,14.85,32.04,6.64,10.39,26.34,20.60,2
47,17.95,36.95,6.88,10.45,22.81,23.18,2
49,14.00,23.39,6.69,9.70,24.81,27.39,2
51,11.72,23.32,6.87,9.62,26.81,28.07,2
53,11.71,23.32,7.83,10.80,28.81,29.65,2
55,11.71,23.32,8.22,10.90,30.81,27.76,2
57,12.87,27.96,9.22,12.10,32.81,24.94,2
59,13.08,28.81,9.70,12.37,34.81,23.19,2
61,16.32,32.12,10.70,13.36,36.81,22.72,2
63,18.97,39.93,11.75,14.40,38.81,21.19,4
65,21.94,45.89,12.70,15.36,40.81,22.04,4
67,21.60,48.36,11.96,13.24,37.54,25.27,4
69,19.70,48.34,10.49,12.76,37.53,27.01,4
71,16.18,48.34,9.37,10.59,25.85,28.50,4
73,14.83,48.25,8.38,8.70,27.85,31.08,4
75,14.67,46.59,9.70,10.27,29.85,27.30,4
77,15.13,46.30,10.40,11.02,31.85,24.68,4
79,17.80,48.78,11.26,12.14,33.85,20.91,1
81,17.35,47.16,12.26,13.34,35.85,18.82,1
83,20.19,44.01,13.38,14.76,37.85,17.06,1
85,21.02,48.10,11.80,14.61,39.34,19.77,1
87,23.82,49.42,10.47,11.41,35.56,22.22,1
89,26.69,49.37,8.56,10.56,37.56,23.85,1
91,18.97,30.62,9.16,11.03,39.56,24.57,1
93,17.73,30.62,10.04,12.02,41.56,25.62,1
95,18.31,32.43,10.14,11.44,43.56,25.05,1
97,19.53,37.29,10.93,11.96,45.56,24.41,1
99,19.87,37.21,11.10,11.27,47.56,25.22,1
101,22.90,37.21,12.39,12.43,49.56,25.99,1
103,22.82,37.21,13.50,13.23,51.56,25.09,3
105,22.82,37.21,14.78,14.39,53.56,25.37,3
107,23.18,37.21,15.45,14.94,55.56,27.38,3
109,20.09,37.21,15.38,15.18,43.68,28.26,3
111,17.59,36.74,8.84,5.61,27.42,25.93,3
113,17.22,35.29,8.97,6.20,29.42,21.18,3
115,18.40,30.88,8.91,6.57,31.42,20.75,3
117,18.46,26.08,9.38,7.27,33.42,21.04,2
119,22.26,29.55,10.62,8.50,35.42,23.07,2
121,22.97,30.64,11.76,9.36,37.42,22.54,2
123,23.68,31.00,13.08,10.66,38.26,22.60,2
125,24.99,39.90,14.23,11.64,39.08,20.40,2
127,26.22,44.80,14.84,12.41,33.66,15.28,2
129,29.38,54.33,13.35,11.92,35.66,14.40,2
131,34.58,63.37,14.47,12.99,37.66,18.00,2
133,37.60,70.95,15.64,14.09,39.66,20.03,2
135,40.63,76.97,16.81,15.19,41.66,19.63,4
137,42.07,76.78,17.97,16.29,43.66,20.07,4
139,41.99,78.84,18.80,16.75,45.66,17.74,4
141,41.58,83.11,17.37,16.52,37.79,14.30,4
143,40.38,87.12,16.59,16.86,37.47,10.79,4
145,41.73,95.37,16.19,17.42,39.47,6.58,4
147,50.24,102.12,17.62,19.08,41.47,6.22,4
149,52.63,102.50,17.35,19.72,43.47,7.83,1
151,53.64,102.50,18.85,21.42,45.47,10.24,1
153,55.92,102.50,20.60,23.27,47.47,14.65,1
155,57.11,102.48,19.93,23.66,44.92,18.02,1
157,57.44,101.98,21.44,24.98,46.92,19.66,1
159,56.88,99.75,22.58,26.39,48.14,18.04,1
161,56.21,97.05,23.31,26.28,43.74,14.58,1
163,62.20,103.83,22.90,25.12,43.80,14.38,1
165,70.11,114.83,24.11,26.27,45.80,14.59,1
167,75.60,125.38,25.17,26.58,47.80,14.62,1
169,68.05,127.27,24.36,26.79,49.80,15.76,1
171,59.38,132.86,26.03,28.40,51.80,15.66,1
173,61.18,133.93,26.98,28.72,53.80,15.18,1
175,63.97,133.92,25.32,27.29,55.80,14.54,3
177,67.87,134.58,26.87,28.66,57.80,17.17,3
179,71.24,137.41,27.13,27.75,59.80,20.51,3
181,72.64,133.87,26.56,28.20,48.25,22.88,3
183,39.31,74.31,25.51,26.42,37.20,21.67,2
185,37.76,74.31,25.00,26.91,39.20,19.95,2
187,44.26,81.18,26.53,28.63,41.20,18.54,2
189,53.19,94.59,23.02,27.33,41.90,17.74,2
191,57.55,101.12,24.19,28.11,43.90,16.77,2
193,55.52,102.94,24.96,28.09,45.90,15.13,2
195,52.56,131.06,26.12,28.78,47.90,15.10,2
197,57.87,143.10,27.07,29.03,49.90,14.42,2
199,62.25,144.72,26.40,28.68,51.90,14.63,2
201,64.52,144.69,27.84,29.68,53.90,14.06,2
203,65.89,144.68,29.44,30.95,55.90,13.96,4
205,67.43,144.17,28.75,29.64,57.90,12.89,4
207,70.47,147.70,26.60,24.37,54.99,12.07,4
209,75.95,158.46,21.43,22.07,44.76,13.94,4
211,80.32,161.35,23.06,23.71,46.76,15.10,1
213,83.03,161.07,23.91,24.95,48.76,15.34,1
215,64.79,108.96,24.83,25.93,50.76,16.05,1
217,43.07,110.23,25.64,26.44,50.29,16.93,1
219,45.06,121.29,26.35,26.75,50.19,16.53,1
221,45.17,121.94,26.01,26.20,52.19,15.42,1
223,46.09,121.94,24.55,25.75,54.19,15.12,1
225,50.26,124.63,24.46,24.20,56.19,14.51,1
227,56.27,138.40,24.35,24.19,58.19,14.42,1
229,59.80,140.85,25.80,25.48,60.19,15.20,1
231,61.37,140.77,27.16,26.52,62.19,14.53,1
233,65.24,140.13,28.15,26.91,64.19,12.23,1
235,66.31,138.85,29.65,28.21,66.19,10.45,1
237,72.12,147.72,30.85,29.65,68.19,11.31,3
239,74.49,151.40,32.31,30.88,70.19,13.18,3
241,74.45,151.33,32.27,30.30,72.19,15.22,3
243,73.80,159.67,31.00,30.14,53.12,16.56,3
245,74.41,163.28,26.69,25.52,49.31,14.46,2
247,74.44,162.44,23.41,23.22,51.31,13.53,2
249,73.66,168.73,24.45,24.44,53.31,13.97,2
251,79.04,177.14,21.74,23.45,51.57,13.48,2
253,79.87,176.21,22.99,24.70,52.41,14.06,2
255,82.02,179.26,23.80,25.01,53.60,14.88,2
