time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,44.30,1
3,0.00,0.00,0.00,0.00,49.20,1
5,0.00,0.00,0.00,0.00,56.43,1
7,0.00,0.00,0.00,0.00,56.85,1
9,0.00,0.00,0.00,0.00,56.94,1
11,0.00,0.00,0.00,0.00,56.31,1
13,0.00,0.00,0.00,0.00,54.56,1
15,0.00,0.00,0.17,1.14,46.80,1
17,0.00,0.00,0.47,3.14,43.42,1
19,0.76,1.55,0.91,5.14,43.05,1
21,2.49,9.94,0.65,3.69,39.72,1
23,3.08,12.33,1.35,5.69,35.73,3
25,3.08,12.31,1.34,7.69,26.94,3
27,5.10,18.93,2.09,9.69,28.66,3
29,4.66,18.65,3.24,11.69,27.94,3
31,5.35,18.65,3.66,13.69,30.72,3
33,8.05,18.65,4.07,15.69,35.17,3
35,8.88,18.65,4.87,17.69,36.86,3
37,8.88,18.65,5.67,19.69,35.31,3
39,8.88,18.65,6.47,21.69,30.86,2
41,9.46,20.96,7.30,23.69,27.49,2
43,13.20,28.87,8.37,25.69,22.65,2
45,14.85,32.04,7.99,26.34,20.60,2
47,17.95,36.95,8.31,23.43,23.18,2
49,14.00,23.39,7.30,22.37,27.39,2
51,11.72,23.32,7.95,24.37,28.07,2
53,11.71,23.32,8.32,26.37,29.65,2
55,11.71,23.32,8.55,28.37,27.76,2
57,12.87,27.96,9.75,30.37,24.94,2
59,13.08,28.81,10.02,32.37,23.19,2
61,16.32,32.12,11.02,34.37,22.72,2
63,18.97,39.93,12.05,36.37,21.19,4
65,21.94,45.89,13.02,38.37,22.04,4
67,21.60,48.36,13.29,37.54,25.27,4
69,19.70,48.34,12.81,37.53,27.01,4
71,16.18,48.34,10.73,25.85,28.50,4
73,14.83,48.25,9.25,27.85,31.08,4
75,14.67,46.59,10.81,29.85,27.30,4
77,15.13,46.30,11.32,31.85,24.68,4
79,17.80,48.78,12.45,33.85,20.91,1
81,17.35,47.16,13.65,35.85,18.82,1
83,20.19,44.01,15.06,37.85,17.06,1
85,21.02,48.10,14.91,39.34,19.77,1
87,23.82,49.42,11.45,36.58,22.22,1
89,26.69,49.37,10.60,38.58,23.85,1
91,18.97,30.62,11.07,40.58,24.57,1
93,17.73,30.62,12.06,42.58,25.62,1
95,18.31,32.43,11.83,44.58,25.05,1
97,19.53,37.29,12.26,46.58,24.41,1
99,19.87,37.21,11.57,48.58,25.22,1
101,22.90,37.21,12.74,50.58,25.99,1
103,22.82,37.21,13.26,52.58,25.09,3
105,22.82,37.21,14.43,54.58,25.37,3
107,23.18,37.21,15.10,56.58,27.38,3
109,20.09,37.21,15.84,43.68,28.26,3
111,17.59,36.74,6.43,27.42,25.93,3
113,17.22,35.29,7.02,29.42,21.18,3
115,18.40,30.88,7.39,31.42,20.75,3
117,18.46,26.08,8.09,33.42,21.04,2
119,22.26,29.55,9.32,35.42,23.07,2
121,22.97,30.64,10.30,37.42,22.54,2
123,23.68,31.00,11.74,38.26,22.60,2
125,24.99,39.90,12.46,39.08,20.40,2
127,26.22,44.80,13.23,33.66,15.28,2
129,29.38,54.33,12.74,35.66,14.40,2
131,34.58,63.37,13.81,37.66,18.00,2
133,37.60,70.95,14.91,39.66,20.03,2
135,40.63,76.97,16.01,41.66,19.63,4
137,42.07,76.78,17.11,43.66,20.07,4
139,41.99,78.84,17.21,45.66,17.74,4
141,41.58,83.11,16.97,37.79,14.30,4
143,40.38,87.12,17.32,37.47,10.79,4
145,41.73,95.37,17.29,39.47,6.58,4
147,50.24,102.12,18.77,41.47,6.22,4
149,52.63,102.50,19.47,43.47,7.83,1
151,53.64,102.50,21.16,45.47,10.24,1
153,55.92,102.50,23.01,47.47,14.65,1
155,57.11,102.48,23.42,48.69,18.02,1
157,57.44,101.98,24.59,47.95,19.66,1
159,56.88,99.75,26.12,49.95,18.04,1
161,56.21,97.05,25.52,43.74,14.58,1
163,62.20,103.83,24.36,43.80,14.38,1
165,70.11,114.83,25.51,45.80,14.59,1
167,75.60,125.38,26.08,47.80,14.62,1
169,68.05,127.27,26.29,49.80,15.76,1
171,59.38,132.86,27.91,51.80,15.66,1
173,61.18,133.93,28.23,53.80,15.18,1
175,63.97,133.92,26.80,55.80,14.54,3
177,67.87,134.58,27.90,57.80,17.17,3
179,71.24,137.41,27.92,59.80,20.51,3
181,72.64,133.87,28.38,48.25,22.88,3
183,39.31,74.31,26.33,37.11,21.67,2
185,37.76,74.31,24.71,39.11,19.95,2
187,44.26,81.18,26.42,41.11,18.54,2
189,53.19,94.59,25.13,41.90,17.74,2
191,57.55,101.12,25.91,43.90,16.77,2
193,55.52,102.94,26.16,45.90,15.13,2
195,52.56,131.06,26.58,47.90,15.10,2
197,57.87,143.10,27.35,49.90,14.42,2
199,62.25,144.72,26.74,51.90,14.63,2
201,64.52,144.69,27.48,53.90,14.06,2
203,65.89,144.68,28.74,55.90,13.96,4
205,67.43,144.17,27.70,57.90,12.89,4
207,70.47,147.70,25.00,54.99,12.07,4
209,75.95,158.46,22.65,44.76,13.94,4
211,80.32,161.35,23.11,46.76,15.10,1
213,83.03,161.07,24.30,48.76,15.34,1
215,64.79,108.96,25.28,50.76,16.05,1
217,43.07,110.23,25.79,50.29,16.93,1
219,45.06,121.29,26.10,50.10,16.53,1
221,45.17,121.94,25.55,52.10,15.42,1
