id,performance_metric,method,mean,worst,std,improve_rate,num_best
1,queue_avg,SCOOT,34.77,101.4,19.81,,0
2,queue_max,SCOOT,71.47,157.19,38.93,,1
3,delay_avg,SCOOT,18.8,43.1,8.98,,5
4,delay_max,SCOOT,54.25,95.93,17.92,,14
5,speed_avg,SCOOT,19.55,11.9,4.11,,0
6,reward,SCOOT,,,,,0
7,queue_avg,Micro DRL,18.66,83.63,14.64,-46.34,72
8,queue_max,Micro DRL,37.99,135.64,26.06,-46.85,59
9,delay_avg,Micro DRL,11.81,39.18,7.18,-37.18,67
10,delay_max,Micro DRL,41.76,79.02,14.87,-23.03,54
11,speed_avg,Micro DRL,26.0,13.61,5.32,32.96,80
12,reward,Micro DRL,104.79,53.98,18.04,,77
13,queue_avg,Macro DRL,23.46,96.66,19.26,-32.52,12
14,queue_max,Macro DRL,43.95,145.72,31.43,-38.51,24
15,delay_avg,Macro DRL,14.72,49.34,9.3,-21.68,12
16,delay_max,Macro DRL,48.31,108.12,19.33,-10.94,16
17,speed_avg,Macro DRL,24.01,12.38,5.45,22.8,4
18,reward,Macro DRL,96.35,47.72,18.21,,7
