time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase,reward
1,0.00,0.00,0.00,0.00,44.37,0.00,0,
3,0.00,0.00,0.00,0.00,49.27,0.00,8,
5,0.00,0.00,0.00,0.00,56.46,0.00,8,
7,0.00,0.00,0.00,0.00,56.84,0.00,8,
9,0.00,0.00,0.00,0.00,56.95,0.00,8,4.00
11,0.00,0.00,0.00,0.00,56.33,0.00,8,
13,0.00,0.00,0.00,0.00,54.63,0.00,7,
15,0.00,0.00,0.00,0.00,46.81,0.00,7,
17,0.00,0.00,0.10,1.16,43.57,0.00,7,
19,0.75,1.55,0.44,3.16,42.91,0.00,7,1.55
21,2.49,9.95,0.94,5.16,39.06,0.00,7,
23,3.08,12.33,1.59,7.16,35.68,2.00,2,
25,3.08,12.31,2.01,9.16,29.92,1.00,2,
27,4.83,18.79,1.77,9.77,29.51,1.00,2,
29,3.00,10.56,1.50,10.34,32.90,1.00,2,2.60
31,2.17,5.93,1.82,6.81,35.12,2.00,2,
33,4.74,9.98,1.93,8.81,39.05,0.00,7,
35,5.61,11.28,2.60,10.81,43.03,1.00,7,
37,4.33,11.27,2.20,10.26,43.48,1.00,7,
39,4.21,11.27,1.68,10.61,40.45,0.00,7,2.50
41,4.21,11.27,2.12,12.61,36.80,0.00,7,
43,4.21,11.27,2.96,14.61,29.72,2.00,8,
45,4.19,11.27,3.36,16.61,25.95,0.00,8,
47,4.02,11.27,4.40,18.61,26.21,2.00,8,
49,6.70,12.02,3.25,20.61,28.17,1.00,8,1.53
51,10.05,18.11,3.80,22.61,27.86,1.00,8,
53,11.07,17.92,4.45,24.61,29.18,0.00,1,
55,11.67,17.92,5.29,26.61,30.19,1.00,1,
57,10.86,17.89,5.88,25.66,31.27,1.00,1,
59,5.77,17.12,5.91,27.66,32.42,2.00,1,2.58
61,6.09,17.12,4.44,19.87,33.47,2.00,1,
63,6.49,17.12,3.55,21.87,32.45,2.00,2,
65,8.03,23.02,4.10,23.87,29.24,1.00,2,
67,9.01,23.39,4.68,21.00,27.48,0.00,2,
69,12.84,20.74,5.71,23.00,26.23,1.00,2,1.87
71,9.23,11.23,6.35,19.54,27.49,1.00,2,
73,11.24,12.19,5.82,21.54,29.65,2.00,4,
75,12.07,14.79,5.95,23.54,31.81,1.00,4,
77,13.26,23.53,6.60,25.54,33.13,3.00,4,
79,10.31,21.22,5.80,27.54,33.60,3.00,4,2.83
81,5.52,11.08,4.04,29.54,32.02,3.00,4,
83,6.02,11.08,4.35,31.54,28.09,1.00,5,
85,6.57,11.08,4.57,33.54,28.40,1.00,5,
87,8.83,10.98,5.15,35.54,29.23,2.00,5,
89,6.65,10.98,4.72,23.59,30.20,1.00,5,2.23
91,10.48,18.37,3.76,17.93,30.27,1.00,5,
93,10.41,18.13,4.09,19.93,30.23,0.00,7,
95,10.41,18.13,4.88,21.93,33.53,2.00,7,
97,10.75,24.31,4.32,20.14,34.54,1.00,7,
99,8.05,24.72,5.20,22.14,33.89,2.00,7,1.72
101,8.92,24.72,3.33,17.49,31.83,2.00,7,
103,10.14,24.72,4.08,19.49,31.33,1.00,8,
105,10.11,24.72,4.71,21.49,29.99,0.00,8,
107,12.25,24.72,5.71,23.49,28.76,2.00,8,
109,14.06,21.99,5.95,24.13,27.38,2.00,8,1.49
111,11.95,24.58,7.02,25.00,22.51,2.00,8,
113,14.58,29.71,7.48,18.39,16.02,1.00,5,
115,18.09,36.45,7.28,18.96,17.40,0.00,5,
117,22.29,41.87,8.62,20.96,18.92,2.00,5,
119,27.07,48.59,9.12,22.96,22.00,2.00,5,1.82
121,26.95,48.46,8.73,24.96,22.21,1.00,5,
123,29.46,52.59,9.51,26.96,21.68,1.00,6,
125,31.78,61.11,10.28,28.96,20.69,1.00,6,
127,33.01,66.03,11.23,30.96,17.04,1.00,6,
129,36.63,78.62,10.66,23.46,15.89,2.00,6,1.18
131,41.37,84.15,11.02,25.46,19.15,1.00,6,
133,41.41,82.59,12.11,27.46,22.67,1.00,1,
