id,link_id,input_volume
1,5,900
2,4,900
3,8,900
4,1,900
5,17,900
6,16,900
7,20,900
8,13,900
9,29,900
10,28,900
11,32,900
12,25,900
13,41,900
14,40,900
15,44,900
16,37,900
17,53,900
18,52,900
19,56,900
20,49,900
21,65,900
22,64,900
23,68,900
24,61,900
25,77,900
26,76,900
27,80,900
28,73,900
29,89,900
30,88,900
31,92,900
32,85,900
33,101,900
34,100,900
35,104,900
36,97,900
37,113,900
38,112,900
39,116,900
40,109,900
41,125,900
42,124,900
43,128,900
44,121,900
45,137,900
46,136,900
47,140,900
48,133,900
