time,queue_main,queue_right,delay_direction_1,delay_direction_2,delay_direction_3,speed
1,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,60.00
9,0.00,0.00,0.00,0.00,0.00,52.20
11,0.00,0.00,0.00,0.00,0.00,56.90
13,0.00,0.00,0.00,0.00,0.00,59.20
15,0.00,0.00,0.00,0.00,0.00,61.70
17,0.00,0.00,0.00,0.00,0.00,58.92
19,0.00,0.00,0.00,0.00,0.00,55.32
21,0.00,0.00,0.00,0.00,0.00,46.96
23,0.00,0.00,0.00,0.00,0.00,39.72
25,0.00,0.00,0.00,1.74,0.00,43.33
27,0.00,0.00,0.00,3.74,0.96,49.20
29,0.00,0.00,0.00,4.37,1.03,50.50
31,0.00,0.00,0.00,0.00,1.13,56.62
33,0.00,0.00,0.00,0.00,0.00,57.78
35,0.00,0.00,0.00,0.00,0.00,54.77
37,0.00,0.00,0.00,0.66,0.00,47.60
39,0.00,0.00,0.00,1.48,0.00,43.87
41,3.40,0.00,0.00,3.48,1.42,40.86
43,4.90,2.79,0.00,5.48,3.42,34.10
45,4.90,5.15,0.00,7.48,5.42,27.31
47,7.95,5.75,0.40,9.48,7.42,23.33
49,10.55,10.70,2.40,11.48,9.42,20.43
51,10.53,11.28,4.40,13.48,11.42,20.46
53,10.53,21.49,6.40,15.48,13.42,24.71
55,10.53,30.18,8.40,17.48,15.42,31.34
57,10.53,29.92,10.40,19.48,11.13,33.52
59,10.53,11.72,12.40,21.48,7.91,31.92
61,13.88,1.09,14.40,23.48,9.94,27.80
63,17.51,8.35,16.40,25.48,11.94,22.57
65,17.47,15.13,18.40,27.48,13.94,17.75
67,17.47,24.03,20.40,29.48,15.94,18.88
69,24.04,25.73,22.40,31.48,17.94,17.64
71,24.80,36.28,24.40,33.48,19.94,19.39
73,30.23,36.05,26.40,13.77,19.73,22.81
75,14.67,35.83,0.00,15.77,13.01,27.64
77,0.00,1.73,0.00,10.85,12.18,30.62
79,0.00,0.00,0.00,8.32,11.14,33.93
81,0.00,0.00,0.00,7.57,11.14,35.70
83,0.00,0.00,0.00,3.88,0.00,31.65
85,0.26,0.00,0.00,4.30,0.00,37.73
87,4.62,0.00,0.00,6.30,0.00,42.43
89,4.45,0.00,0.00,8.30,0.00,42.90
91,4.45,0.00,0.00,10.30,0.00,45.35
93,4.45,0.00,0.00,12.30,0.00,43.52
95,4.45,0.00,0.00,14.30,0.00,40.83
97,4.45,0.00,0.00,16.30,0.00,36.56
99,9.77,0.00,0.00,18.30,0.11,34.80
101,9.80,3.17,0.00,20.30,2.11,34.53
103,9.80,5.35,0.00,22.30,4.11,29.30
105,14.14,5.33,0.00,24.30,6.11,24.36
107,16.66,6.05,0.00,26.30,8.11,18.76
109,20.07,11.85,0.00,28.30,10.11,17.56
111,22.48,11.67,0.00,30.30,12.11,15.97
113,30.26,11.67,0.37,32.30,14.11,11.71
115,38.17,11.67,2.37,34.30,16.11,8.81
117,47.02,11.67,4.37,36.30,18.11,6.38
119,47.98,11.67,6.37,38.30,20.11,3.08
121,49.11,11.67,8.37,40.30,22.11,1.38
123,56.50,11.67,10.37,42.30,24.11,1.83
125,60.73,11.67,12.37,29.88,26.11,6.63
127,60.64,11.67,14.37,24.34,28.11,9.70
129,60.64,11.67,16.37,21.12,30.11,14.09
131,60.59,11.67,18.37,18.64,32.11,20.96
133,14.95,11.67,19.01,20.64,34.11,27.73
135,0.00,11.67,21.01,0.00,36.11,31.38
137,0.00,11.67,19.69,0.00,38.11,29.22
139,0.00,13.93,15.01,0.11,40.11,32.62
141,0.00,17.65,0.00,2.11,42.11,34.54
143,0.00,17.60,0.00,4.11,44.11,32.63
145,0.00,17.60,0.00,6.11,46.11,27.47
147,4.03,19.26,0.00,8.11,48.11,19.53
149,5.40,28.53,0.00,10.11,50.11,12.80
151,6.78,32.73,0.00,12.11,52.11,5.83
153,11.73,36.00,0.00,14.11,54.11,4.29
