time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.07
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.43
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.82
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.92
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.98
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.18
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.30
17,0.00,0.00,0.00,0.00,0.00,1.94,0.00,0.65,0.83,1.94,59.10
19,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.08,0.10,0.23,60.00
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.38
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.13
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.14
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.95
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.07
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.01
43,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.36,0.46,1.07,32.06
45,3.03,0.00,1.51,3.03,0.00,3.07,0.00,1.02,1.31,3.07,29.76
47,5.10,0.00,2.55,5.10,0.00,5.07,0.00,1.69,2.17,5.07,24.56
49,5.09,0.00,2.54,5.09,0.00,7.07,0.00,2.36,3.03,7.07,13.78
51,5.09,0.00,2.54,5.09,0.00,9.07,0.00,3.02,3.89,9.07,4.63
53,5.09,1.21,3.15,5.09,0.00,11.07,1.25,4.11,5.28,11.07,0.37
55,5.09,5.44,5.26,5.44,0.00,13.07,3.25,5.44,6.99,13.07,0.00
57,5.09,5.33,5.21,5.33,0.00,15.07,5.25,6.77,8.71,15.07,0.00
59,5.09,5.33,5.21,5.33,0.00,17.07,7.25,8.11,10.42,17.07,14.46
61,5.09,5.33,5.21,5.33,0.00,19.07,9.25,9.44,12.14,19.07,17.73
63,5.09,5.33,5.21,5.33,0.00,21.07,11.25,10.77,13.85,21.07,20.86
65,5.09,5.33,5.21,5.33,0.00,23.07,13.25,12.11,15.56,23.07,21.26
67,5.09,5.33,5.21,5.33,0.00,25.07,15.25,13.44,17.28,25.07,21.22
69,5.09,5.33,5.21,5.33,0.00,27.07,17.25,14.77,18.99,27.07,15.59
71,5.09,5.33,5.21,5.33,0.00,29.07,19.25,16.11,20.71,29.07,17.21
73,5.09,5.33,5.21,5.33,0.00,31.07,21.25,17.44,22.42,31.07,22.66
75,5.09,7.06,6.07,7.06,0.00,33.07,23.25,18.77,24.14,33.07,28.34
77,5.09,11.71,8.40,11.71,0.00,35.07,25.25,20.11,25.85,35.07,28.14
79,5.09,11.62,8.35,11.62,0.00,37.07,27.25,21.44,27.56,37.07,28.14
81,5.09,11.62,8.35,11.62,0.00,39.07,29.25,22.77,29.28,39.07,26.40
83,5.09,11.62,8.35,11.62,0.00,41.07,31.25,24.11,30.99,41.07,26.05
85,4.99,11.62,8.30,11.62,0.00,43.07,33.25,25.44,32.71,43.07,33.11
87,0.21,7.86,4.04,7.86,0.00,45.07,35.25,26.77,34.42,45.07,36.99
89,0.00,0.00,0.00,0.00,0.00,3.44,15.34,6.26,8.05,15.34,47.14
91,0.00,0.00,0.00,0.00,0.00,2.41,4.57,2.33,2.99,4.57,48.09
93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.51
95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.33
97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.92
99,0.00,0.00,0.00,0.00,0.00,1.19,1.99,1.06,1.36,1.99,20.32
101,0.00,1.91,0.95,1.91,0.00,3.19,3.99,2.39,3.07,3.99,10.48
103,4.87,4.99,4.93,4.99,0.00,5.19,5.99,3.72,4.79,5.99,6.72
105,5.44,4.94,5.19,5.44,0.00,7.19,7.99,5.06,6.50,7.99,3.90
107,5.44,4.94,5.19,5.44,0.00,9.19,9.99,6.39,8.22,9.99,12.07
109,13.95,4.94,9.45,13.95,0.00,11.19,11.99,7.72,9.93,11.99,22.02
111,17.86,4.94,11.40,17.86,0.00,13.19,13.99,9.06,11.65,13.99,22.84
113,17.80,4.94,11.37,17.80,0.00,15.19,15.99,10.39,13.36,15.99,23.07
115,17.80,4.94,11.37,17.80,0.00,17.19,17.99,11.72,15.07,17.99,22.60
117,17.80,4.94,11.37,17.80,0.00,19.19,19.99,13.06,16.79,19.99,18.25
119,17.80,4.94,11.37,17.80,0.00,21.19,21.99,14.39,18.50,21.99,11.82
