time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.21
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.54
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.45
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.45
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.55
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.98
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.83
23,1.13,0.00,0.57,1.13,0.00,1.58,0.00,0.53,0.32,1.58,3.01
25,8.25,0.00,4.13,8.25,0.00,3.58,0.00,1.19,0.72,3.58,15.95
27,10.90,0.00,5.45,10.90,0.00,5.58,0.00,1.86,1.12,5.58,17.67
29,10.88,0.00,5.44,10.88,0.00,7.58,0.00,2.53,1.52,7.58,19.20
31,10.88,0.00,5.44,10.88,0.00,9.58,0.00,3.19,1.92,9.58,18.27
33,10.88,0.00,5.44,10.88,0.00,11.58,0.00,3.86,2.32,11.58,14.90
35,10.88,0.00,5.44,10.88,0.00,13.58,0.00,4.53,2.72,13.58,25.04
37,10.88,0.00,5.44,10.88,0.00,15.58,0.00,5.19,3.12,15.58,25.43
39,10.88,0.00,5.44,10.88,0.00,17.58,0.00,5.86,3.52,17.58,21.85
41,10.88,0.00,5.44,10.88,0.00,19.58,1.94,7.17,5.08,19.58,21.76
43,10.88,0.00,5.44,10.88,0.00,21.58,0.00,7.19,4.32,21.58,15.98
45,10.88,0.00,5.44,10.88,0.00,23.58,0.00,7.86,4.72,23.58,19.05
47,10.88,0.00,5.44,10.88,0.00,25.58,0.00,8.53,5.12,25.58,16.94
49,12.47,0.00,6.24,12.47,0.00,27.58,0.00,9.19,5.52,27.58,16.68
51,16.71,0.00,8.36,16.71,0.00,29.58,0.00,9.86,5.92,29.58,16.32
53,16.63,0.00,8.31,16.63,0.00,31.58,0.00,10.53,6.32,31.58,15.88
55,16.63,0.00,8.31,16.63,0.00,33.58,0.00,11.19,6.72,33.58,19.09
57,16.63,0.00,8.31,16.63,0.00,35.58,0.00,11.86,7.12,35.58,16.32
59,16.63,0.00,8.31,16.63,0.00,37.58,0.54,12.71,7.84,37.58,12.90
61,16.63,2.69,9.66,16.63,0.00,39.58,2.54,14.04,9.44,39.58,18.29
63,16.63,4.46,10.55,16.63,0.00,41.58,4.54,15.37,11.04,41.58,19.37
65,16.63,4.45,10.54,16.63,0.00,43.58,6.54,16.71,12.64,43.58,16.18
67,16.63,4.45,10.54,16.63,0.00,45.58,8.54,18.04,14.24,45.58,19.68
69,16.63,4.45,10.54,16.63,0.00,47.58,10.54,19.37,15.84,47.58,18.58
71,16.63,8.93,12.78,16.63,0.00,49.58,12.54,20.71,17.44,49.58,14.95
